tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,"preciptype_freezingrain,snow,ice",preciptype_rain,"preciptype_rain,freezingrain","preciptype_rain,freezingrain,ice","preciptype_rain,freezingrain,snow","preciptype_rain,freezingrain,snow,ice","preciptype_rain,snow","preciptype_rain,snow,ice",preciptype_snow,preciptype_unknown
20.0,22.3,25.6,20.0,22.3,16.7,70.8,1.062,100,8.33,0.0,0.0,70.2,24.1,253.8,1011.7,19.1,15.4,167.6,14.3,9,10.0,2024-05-23T05:31:58,2024-05-23T20:14:19,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.4,18.2,21.6,13.4,18.2,10.1,60.9,0.44,100,8.33,0.0,0.0,74.0,18.6,297.6,1014.1,51.9,15.3,204.1,17.6,8,10.0,2023-05-21T05:34:00,2023-05-21T20:11:52,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,13.6,19.0,8.3,13.5,7.5,67.0,0.0,0,0.0,0.0,0.0,26.3,12.1,239.0,1027.7,9.2,16.0,130.4,11.3,5,10.0,2022-11-10T06:37:01,2022-11-10T16:42:26,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.6,19.9,24.8,15.6,19.9,10.3,55.3,0.0,0,0.0,0.0,0.0,64.3,22.0,271.2,1017.3,9.7,16.0,289.6,25.0,10,10.0,2024-08-21T06:12:47,2024-08-21T19:44:38,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.2,10.3,14.3,3.5,9.4,-0.9,48.8,0.416,100,16.67,0.0,0.0,31.4,23.6,58.7,1016.3,41.2,16.0,173.8,15.1,8,10.0,2023-03-27T06:48:06,2023-03-27T19:15:26,0.19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.3,23.5,28.1,19.3,23.6,15.5,61.8,0.46,100,8.33,0.0,0.0,88.9,12.2,249.2,1015.9,37.5,13.6,274.0,23.9,10,10.0,2023-06-29T05:27:40,2023-06-29T20:31:18,0.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.7,-1.0,-0.1,-10.8,-6.2,-10.4,49.9,0.0,0,0.0,1.8,1.0,44.1,26.1,0.2,1019.3,63.4,16.0,12.4,1.1,1,10.0,2022-01-03T07:20:21,2022-01-03T16:41:06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,11.6,13.5,10.0,11.6,10.2,91.6,18.463,100,54.17,0.0,0.0,21.2,13.1,136.1,1008.3,100.0,8.7,14.5,1.3,1,10.0,2022-01-01T07:20:13,2022-01-01T16:39:22,0.96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.7,29.8,37.7,25.7,31.8,20.2,56.7,0.23,100,4.17,0.0,0.0,72.0,16.0,232.7,1007.8,11.2,15.9,237.3,20.4,9,60.0,2022-07-20T05:41:53,2022-07-20T20:22:33,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.4,26.6,32.3,23.4,27.2,19.0,64.0,0.0,0,0.0,0.0,0.0,20.5,14.9,233.9,1016.8,44.6,16.0,288.9,25.0,10,10.0,2024-07-21T05:43:13,2024-07-21T20:21:24,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,21.8,24.2,20.0,21.8,13.2,58.6,0.098,100,8.33,0.0,0.0,35.2,14.4,170.8,1013.2,42.1,15.9,124.3,10.7,4,10.0,2022-06-11T05:24:30,2022-06-11T20:27:14,0.41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,11.9,17.0,7.1,11.9,2.9,57.2,0.0,0,0.0,0.0,0.0,13.3,8.0,21.6,1023.9,13.2,16.0,151.9,13.1,6,10.0,2022-10-30T07:24:04,2022-10-30T17:54:44,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.1,5.9,7.5,0.6,4.6,-3.6,50.9,0.0,0,0.0,0.0,0.0,25.9,18.9,239.9,1019.5,46.3,16.0,95.4,8.1,5,10.0,2021-12-04T07:04:03,2021-12-04T16:28:36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16.1,19.3,21.7,16.1,19.3,15.0,77.0,1.808,100,8.33,0.0,0.0,31.7,16.8,93.0,1015.0,86.8,14.4,172.0,14.9,7,10.0,2022-06-23T05:25:36,2022-06-23T20:31:03,0.81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,10.2,11.7,5.3,8.8,9.4,94.6,20.697939999999985,100,100.0,0.0,0.0,51.8,27.4,57.3,1012.5,100.0,5.5,38.0,3.4,2,10.0,2023-04-29T05:57:32,2023-04-29T19:50:01,0.31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,6.1,11.1,0.4,5.1,-1.6,59.2,0.0,0,0.0,0.0,0.0,66.6,9.4,227.4,1026.0,1.1,16.0,132.2,11.4,6,10.0,2024-02-08T06:59:08,2024-02-08T17:21:52,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9.2,10.4,11.4,6.6,9.5,4.1,66.0,10.527,100,41.67,0.0,0.0,52.9,32.2,44.8,1022.5,97.6,15.1,25.6,2.3,1,10.0,2022-10-03T06:54:35,2022-10-03T18:34:51,0.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,12.3,14.0,6.6,12.1,5.0,61.9,0.249,100,4.17,0.0,0.0,58.6,23.6,273.3,1008.8,77.1,16.0,103.8,9.1,5,10.0,2022-03-20T06:59:18,2022-03-20T19:08:16,0.58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-14.2,-8.3,-8.2,-23.4,-13.7,-18.2,45.7,0.0,0,0.0,0.0,0.0,60.8,28.8,262.0,1034.4,17.5,16.0,146.0,12.6,6,10.0,2023-02-04T07:03:15,2023-02-04T17:17:12,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.6,3.1,5.7,-5.1,0.7,-2.9,65.0,0.0,0,0.0,0.0,0.1,37.1,20.1,199.5,1037.2,10.6,16.0,127.6,11.0,6,10.0,2022-02-16T06:48:35,2022-02-16T17:32:12,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.8,13.8,19.4,1.2,13.6,7.1,66.5,0.0,0,0.0,0.0,0.0,74.0,22.6,269.4,1016.0,44.9,16.0,88.4,7.6,5,10.0,2022-02-23T06:38:50,2022-02-23T17:40:30,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.4,24.1,29.9,21.4,24.4,19.0,75.5,20.697939999999985,100,33.33,0.0,0.0,46.4,18.4,262.1,1007.4,77.6,12.9,117.7,10.2,5,60.0,2022-09-13T06:34:43,2022-09-13T19:08:28,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,5.4,12.8,-3.8,3.5,-3.1,56.2,0.0,0,0.0,0.0,0.0,29.5,16.5,228.7,1027.6,0.5,16.0,182.9,15.6,7,10.0,2022-02-21T06:41:43,2022-02-21T17:38:09,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21.7,24.3,30.3,21.7,24.8,21.0,82.6,1.297,100,50.0,0.0,0.0,44.6,20.7,111.6,1010.6,88.9,13.5,199.8,17.2,9,30.0,2024-08-18T06:09:50,2024-08-18T19:49:03,0.46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,3.4,3.8,-1.4,1.1,0.2,80.1,0.114,100,25.0,0.2,0.1,51.8,18.2,25.4,1010.9,100.0,15.2,25.4,2.2,1,10.0,2024-01-29T07:09:15,2024-01-29T17:09:29,0.63,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
