ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-06-01,18.231305720789642,20.945602223065293,31.281790337087777,18.231305720789642,18.231305720789642,7.96694314339619,7.96694314339619,7.96694314339619,0.5321750090001566,0.5321750090001566,0.5321750090001566,7.434768134396033,7.434768134396033,7.434768134396033,0.0,0.0,0.0,26.19824886418583
2023-06-02,18.232004432385985,21.068958541305612,31.281018451963853,18.232004432385985,18.232004432385985,8.054166867874832,8.054166867874832,8.054166867874832,0.637152891742544,0.637152891742544,0.637152891742544,7.417013976132288,7.417013976132288,7.417013976132288,0.0,0.0,0.0,26.28617130026082
2023-06-03,18.232703143982327,20.138701165714608,30.39921793874477,18.232703143982327,18.232703143982327,7.09674084375093,7.09674084375093,7.09674084375093,-0.28233850223250234,-0.28233850223250234,-0.28233850223250234,7.379079345983433,7.379079345983433,7.379079345983433,0.0,0.0,0.0,25.329443987733256
2023-06-04,18.23340185557867,20.357443305663356,30.548708551286317,18.23340185557867,18.23340185557867,7.083920744564334,7.083920744564334,7.083920744564334,-0.2409860727023332,-0.2409860727023332,-0.2409860727023332,7.324906817266667,7.324906817266667,7.324906817266667,0.0,0.0,0.0,25.317322600143005
2023-06-05,18.234100567175012,19.85591759445764,30.598582542278322,18.234100567175012,18.234100567175012,6.9393097303661815,6.9393097303661815,6.9393097303661815,-0.31944037517020135,-0.31944037517020135,-0.31944037517020135,7.258750105536383,7.258750105536383,7.258750105536383,0.0,0.0,0.0,25.173410297541196
2023-06-06,18.234799278771355,19.835956629594477,30.23914917674329,18.234799278771355,18.234799278771355,6.668267136697306,6.668267136697306,6.668267136697306,-0.5168111669972342,-0.5168111669972342,-0.5168111669972342,7.1850783036945405,7.1850783036945405,7.1850783036945405,0.0,0.0,0.0,24.90306641546866
2023-06-07,18.235497990367698,20.54204647256999,30.59440102109611,18.235497990367698,18.235497990367698,7.298723537493193,7.298723537493193,7.298723537493193,0.19024821636086872,0.19024821636086872,0.19024821636086872,7.108475321132324,7.108475321132324,7.108475321132324,0.0,0.0,0.0,25.53422152786089
2023-06-08,18.23619670196404,20.632929187682898,30.884603690629845,18.23619670196404,18.23619670196404,7.565711982489001,7.565711982489001,7.565711982489001,0.5321750090001528,0.5321750090001528,0.5321750090001528,7.033536973488848,7.033536973488848,7.033536973488848,0.0,0.0,0.0,25.80190868445304
2023-06-09,18.236895413560383,20.79038486991566,30.821941725881455,18.236895413560383,18.236895413560383,7.60192111931309,7.60192111931309,7.60192111931309,0.63715289174199,0.63715289174199,0.63715289174199,6.9647682275711,6.9647682275711,6.9647682275711,0.0,0.0,0.0,25.838816532873473
2023-06-10,18.237594125156726,20.169909215567788,29.836694390208798,18.237594125156726,18.237594125156726,6.6241445962065635,6.6241445962065635,6.6241445962065635,-0.282338502233471,-0.282338502233471,-0.282338502233471,6.9064830984400345,6.9064830984400345,6.9064830984400345,0.0,0.0,0.0,24.861738721363288
2023-06-11,18.238292836753068,19.50457391105564,30.346736030177862,18.238292836753068,18.238292836753068,6.621723550044751,6.621723550044751,6.621723550044751,-0.24098607270273195,-0.24098607270273195,-0.24098607270273195,6.8627096227474835,6.8627096227474835,6.8627096227474835,0.0,0.0,0.0,24.86001638679782
2023-06-12,18.23899154834941,19.806442201505753,30.042262207126793,18.23899154834941,18.23899154834941,6.517661820909576,6.517661820909576,6.517661820909576,-0.3194403751712613,-0.3194403751712613,-0.3194403751712613,6.837102196080838,6.837102196080838,6.837102196080838,0.0,0.0,0.0,24.756653369258988
